"geo_value","time_value","cli","inperson_school_fulltime","inperson_school_parttime","tested_14d","tested_positive_14d","covid_vaccinated_or_accept","covid_vaccinated","others_masked","public_transit_1d","work_outside_home_1d","shop_1d","restaurant_1d","spent_time_1d","large_event_1d","worried_become_ill","vaccine_likely_friends","vaccine_likely_who","vaccine_likely_govt_health","vaccine_likely_politicians","confirmed_7dav_incidence_prop","wearing_mask"
"06029",2021-01-30,1.3694451,9.8409,5.7144123,12.5683155,NA,73.4229278,10.8592507,81.3829784,2.0428765,24.9844349,49.802896,7.947868,23.3388263,3.599208,74.7999803,36.7583007,35.8977391,27.7178406,11.1573499,71.8436576,94.8653975
"06031",2021-01-30,2.0441259,NA,NA,13.9636395,NA,77.6106301,12.118046,NA,0.9338184,21.4687354,45.3225514,5.7270316,25.8760903,1.7709509,NA,NA,NA,NA,NA,69.6079128,94.8328767
"06037",2021-01-30,1.2827763,10.6684131,6.5617743,21.881875,17.7446463,83.2177971,12.5815572,89.9132063,4.163254,26.2713519,45.9791238,4.2677395,18.7275403,2.8992755,77.302602,43.0281086,49.4674874,44.3188945,16.7101905,65.9269087,96.8261714
"06039",2021-01-30,1.6152536,NA,NA,9.0381984,NA,77.8395587,15.111028,89.4950911,0.330873,24.2719627,46.1952501,7.6983775,19.7002083,5.2081126,73.745514,38.5977121,35.7072728,33.397298,13.4812311,55.5994737,91.9911489
"06041",2021-01-30,0.1760397,NA,NA,16.5055814,NA,91.2585442,18.0269243,93.6160617,2.5014009,24.6985871,49.4758015,6.602428,22.6559604,1.7992964,71.4355859,42.0281292,52.7690177,46.4863413,15.8129085,24.4819921,97.7692054
"06045",2021-01-30,0.6009129,NA,NA,15.2558558,NA,85.1969603,28.0926318,NA,0.4082899,28.5739707,49.9039884,7.0370568,29.4551533,6.7893956,NA,NA,NA,NA,NA,27.3892106,NA
"06047",2021-01-30,0.848873,NA,NA,13.4738264,NA,71.5511811,10.6026533,87.3775453,1.9159122,23.4517021,47.7264456,4.0550099,22.4800207,3.4407768,76.5416875,34.2287532,38.5494911,29.0193922,9.1898182,69.573616,97.5786199
"06053",2021-01-30,1.4401539,5.8083932,9.4515811,15.5473449,NA,82.0593257,7.514381,96.0345179,1.5799594,30.4490835,44.5739707,4.6015552,19.5384936,3.5890905,79.0818508,39.0944746,47.8162809,44.1816415,18.019877,59.8738472,97.1567311
"06055",2021-01-30,0.8590424,NA,NA,14.2022253,NA,91.1469058,26.7866387,93.3292766,1.4677131,32.8340106,48.0961126,6.2955677,21.5322986,3.0940141,68.0135906,35.2435205,42.432713,37.4734151,14.2074775,47.2810755,94.9419886
"06059",2021-01-30,1.580937,12.4742958,22.3996298,16.71129,22.6577105,83.0042868,11.5875776,87.0485175,2.2758391,28.4389917,50.0433113,7.8269532,22.1989924,3.8694088,78.281089,43.0471116,50.6087829,44.3512327,14.211092,32.7950213,95.5377888
